RaceID,Season,RaceNumber,Drivers,MAE,RMSE,SpearmanRho,SpearmanP
2018_R4,2018,4,20,6.7,7.880355321938218,0.06616541353383458,0.7816639121085742
2018_R5,2018,5,20,4.6,5.709640969448079,0.5097744360902255,0.02166896662153532
2018_R7,2018,7,20,2.1,3.0983866769659336,0.8556390977443609,1.5129652137091274e-06
2018_R8,2018,8,20,3.3,3.8340579025361627,0.7789473684210525,5.1942775842116204e-05
2018_R18,2018,18,20,5.2,5.9833101206606365,0.4616541353383458,0.040457634341480954
2018_R20,2018,20,20,2.9,3.714835124201342,0.7924812030075187,3.103086794223732e-05
2019_R6,2019,6,20,3.4,4.324349662087931,0.7187969924812029,0.0003559194073895134
2019_R9,2019,9,20,2.7,3.9115214431215892,0.7699248120300751,7.183540419814864e-05
2019_R12,2019,12,20,2.5,3.0983866769659336,0.8556390977443609,1.5129652137091274e-06
2019_R17,2019,17,20,3.2,4.219004621945797,0.732330827067669,0.00024121635708852904
2019_R18,2019,18,20,3.1,3.82099463490856,0.7804511278195487,4.9139529642236554e-05
2019_R19,2019,19,20,3.6,5.540758070878027,0.5383458646616541,0.01433546239679361
2020_R1,2020,1,20,4.5,6.0909769331364245,0.4421052631578947,0.05096470340964167
2020_R6,2020,6,20,2.2,3.521363372331802,0.813533834586466,1.2867962423531951e-05
2020_R7,2020,7,20,2.2,3.5777087639996634,0.8075187969924811,1.6726328546716402e-05
2020_R12,2020,12,20,2.8,3.63318042491699,0.801503759398496,2.154990269369137e-05
2021_R7,2021,7,20,3.0,3.987480407475377,0.7609022556390977,9.796553338830226e-05
2021_R10,2021,10,20,3.6,5.796550698475776,0.4947368421052631,0.02657864740545714
2021_R15,2021,15,20,3.0,4.135214625627067,0.7428571428571428,0.00017540444660487062
2022_R10,2022,10,20,4.2,5.477225575051661,0.5488721804511278,0.012202217962291394
2022_R18,2022,18,20,3.0,5.029910535983717,0.6195488721804511,0.0035758529444134455
2022_R20,2022,20,20,2.9,4.06201920231798,0.7518796992481201,0.00013187874499474218
2023_R2,2023,2,20,2.7,4.183300132670378,0.7368421052631579,0.00021080775336363285
2023_R9,2023,9,20,3.1,4.415880433163924,0.706766917293233,0.0004940441153149169
2023_R14,2023,14,20,2.7,3.4641016151377544,0.819548872180451,9.806689618126187e-06
2023_R17,2023,17,20,4.7,6.058052492344384,0.4481203007518797,0.04753173575066418
2023_R19,2023,19,20,3.0,4.516635916254486,0.6932330827067669,0.000701450858560554
2023_R20,2023,20,20,4.8,6.2289646009589745,0.41654135338345866,0.06770800324389113
2024_R4,2024,4,20,2.4,3.2093613071762426,0.8451127819548873,2.7376438111929376e-06
2024_R7,2024,7,20,2.4,3.0,0.8646616541353382,8.760838300464326e-07
2024_R20,2024,20,20,3.5,4.732863826479693,0.6631578947368421,0.0014368148651074362
2024_R22,2024,22,20,3.0,4.949747468305833,0.631578947368421,0.0028182871655732474
2024_R24,2024,24,20,3.5,4.381780460041329,0.7112781954887217,0.0004376985264129604
2025_R13,2025,13,20,2.9,4.39317652729776,0.7097744360902255,0.0004558392343877832
2025_R21,2025,21,20,3.8,5.735852159879995,0.5052631578947367,0.023059229474174193
