RaceID,Season,RaceNumber,MAE,RMSE,R2,SpearmanRho
2018_R4,2018,4,4.6,5.549774770204643,-2.7333333333333334,0.8060606060606059
2018_R5,2018,5,2.3,3.0495901363953815,-0.1272727272727272,0.9151515151515152
2018_R7,2018,7,1.3,1.816590212458495,0.6,0.8545454545454544
2018_R8,2018,8,2.0,2.4083189157584592,0.296969696969697,0.6484848484848483
2018_R18,2018,18,3.3,3.8858718455450894,-0.8303030303030303,0.7939393939393938
2018_R20,2018,20,1.7,2.16794833886788,0.4303030303030303,0.7454545454545454
2019_R6,2019,6,1.9,2.6267851073127395,0.1636363636363637,0.9151515151515152
2019_R9,2019,9,1.1,1.70293863659264,0.6484848484848484,0.8303030303030302
2019_R12,2019,12,1.3,1.9748417658131499,0.5272727272727273,0.7696969696969697
2019_R17,2019,17,2.7,3.0495901363953815,-0.1272727272727272,0.8060606060606059
2019_R18,2019,18,2.2,2.5298221281347035,0.22424242424242424,0.8303030303030302
2019_R19,2019,19,1.3,1.9748417658131499,0.5272727272727273,0.9515151515151514
2020_R1,2020,1,3.1,4.230839160261236,-1.16969696969697,0.8060606060606059
2020_R6,2020,6,1.7,2.16794833886788,0.4303030303030303,0.8181818181818182
2020_R7,2020,7,1.6,2.0976176963403033,0.4666666666666667,0.8181818181818182
2020_R12,2020,12,1.4,2.1908902300206643,0.4181818181818182,0.8909090909090909
2021_R7,2021,7,1.6,2.449489742783178,0.2727272727272727,0.9878787878787878
2021_R10,2021,10,2.7,3.24037034920393,-0.2727272727272727,0.9636363636363635
2021_R15,2021,15,2.3,3.391164991562634,-0.39393939393939403,0.6606060606060605
2022_R10,2022,10,4.2,5.272570530585627,-2.3696969696969696,0.6242424242424242
2022_R18,2022,18,2.4,3.924283374069717,-0.8666666666666667,0.8181818181818182
2022_R20,2022,20,1.2,1.7320508075688772,0.6363636363636364,0.8424242424242423
2023_R2,2023,2,1.6,2.32379000772445,0.34545454545454546,0.9030303030303028
2023_R9,2023,9,1.8,2.4899799195977463,0.24848484848484853,0.6242424242424242
2023_R14,2023,14,1.6,2.6076809620810595,0.17575757575757578,0.9151515151515152
2023_R17,2023,17,3.1,4.110960958218893,-1.0484848484848484,0.7333333333333332
2023_R19,2023,19,1.9,2.701851217221259,0.11515151515151512,0.8787878787878788
2023_R20,2023,20,3.2222222222222223,3.929942040850532,-1.3166666666666669,0.48333333333333334
2024_R4,2024,4,1.1111111111111112,1.247219128924647,0.7666666666666666,0.8833333333333333
2024_R7,2024,7,0.7777777777777778,1.2018504251546631,0.7833333333333333,0.9666666666666667
2024_R20,2024,20,1.5,2.0615528128088303,0.19047619047619047,0.5952380952380953
2024_R22,2024,22,1.9,2.258317958127243,0.38181818181818183,0.709090909090909
2024_R24,2024,24,2.3,3.3015148038438356,-0.3212121212121213,0.35757575757575755
2025_R13,2025,13,1.8,3.03315017762062,-0.11515151515151523,0.9757575757575757
2025_R21,2025,21,2.6,3.0,-0.09090909090909083,0.8666666666666665
